Strategy,Probabilistic
useLLMVolunteerDecision,False
volunteerCount,5
obstacleCount,80
agentCount,150
stepInterval,0.3
mapWidth,30
mapHeight,30
batchRunCount,30
kStatic,1
kDynamic,1
kAnticipation,1
movementTemperature,1
summaryMetric,90pct_evacuated
ninetyPercentFallbackSteps,150

BatchSize,Strategy,AvgSteps,StdSteps,MinSteps,MaxSteps,AvgTime,StdTime,MinTime,MaxTime,Reached90PctAllRuns,SuccessRuns90Pct,FailedRuns
30,Probabilistic,44.47,5.15,38,58,13.34,1.54,11.40,17.41,true,30,0
