Step,AgentsRemaining,ConflictCount,VolunteerActions,ObstaclesRemaining,AvgDFF,AvgAFF
1,147,17,9,71,0.1199,0.0078
2,146,12,0,71,0.0237,0.0062
3,146,20,2,69,0.0049,0.0000
4,145,19,0,69,0.0010,0.0000
5,145,23,0,69,0.0002,0.0000
6,142,20,3,66,0.0000,0.0346
7,141,15,6,60,0.0000,0.0104
8,141,17,2,58,0.0000,0.0069
9,138,22,0,58,0.0000,0.0000
10,136,24,0,58,0.0000,0.0000
11,130,24,0,58,0.0000,0.0000
12,125,22,5,53,0.0000,0.0172
13,122,18,2,51,0.0000,0.0075
14,116,20,1,50,0.0000,0.0000
15,114,26,0,50,0.0000,0.0000
16,109,22,0,50,0.0000,0.0000
17,105,18,0,50,0.0000,0.0000
18,102,17,5,45,0.0000,0.0000
19,101,17,0,45,0.0000,0.0000
20,98,17,0,45,0.0000,0.0000
21,98,19,0,45,0.0000,0.0000
22,91,16,0,45,0.0000,0.0000
23,87,17,0,45,0.0000,0.0000
24,81,20,2,43,0.0000,0.0350
25,78,14,0,43,0.0000,0.0341
26,72,15,2,41,0.0000,0.0306
27,68,12,0,41,0.0000,0.0138
28,64,11,1,40,0.0000,0.0000
29,60,12,0,40,0.0000,0.0000
30,56,8,1,39,0.0000,0.0309
31,52,7,1,38,0.0000,0.0144
32,48,6,1,37,0.0000,0.0042
33,42,5,1,36,0.0000,0.0000
34,40,3,0,36,0.0000,0.0000
35,36,3,0,36,0.0000,0.0000
36,32,7,0,36,0.0000,0.0346
37,29,3,0,36,0.0000,0.0305
38,24,2,1,35,0.0000,0.0260
39,22,1,0,35,0.0000,0.0283
40,22,1,1,34,0.0000,0.0000
41,19,3,0,34,0.0000,0.0000
42,17,1,1,33,0.0000,0.0650
43,17,2,0,33,0.0000,0.0226
44,14,1,0,33,0.0000,0.0143
45,10,0,1,32,0.0000,0.0000
46,10,1,0,32,0.0000,0.0000
47,10,0,0,32,0.0000,0.0000
48,9,0,0,32,0.0000,0.0222
49,8,0,1,31,0.0000,0.0000
50,7,0,0,31,0.0000,0.0000
51,7,0,0,31,0.0000,0.0000
52,5,0,0,31,0.0000,0.0000
53,5,0,0,31,0.0000,0.0000
54,4,0,0,31,0.0000,0.0500
55,4,0,0,31,0.0000,0.0500
56,4,0,0,31,0.0000,0.0500
57,3,0,1,30,0.0000,0.0000
58,3,0,0,30,0.0000,0.0000
59,2,0,0,30,0.0000,0.0000
60,1,0,0,30,0.0000,0.0000
61,1,0,0,30,0.0000,0.0000
62,1,0,0,30,0.0000,0.0000
63,1,0,0,30,0.0000,0.0000
64,1,0,0,30,0.0000,0.0000
65,1,0,0,30,0.0000,0.0000
66,1,0,0,30,0.0000,0.0000
67,1,0,0,30,0.0000,0.0000
68,1,0,0,30,0.0000,0.0000
69,1,0,0,30,0.0000,0.0000
70,1,0,0,30,0.0000,0.0000
71,1,0,0,30,0.0000,0.0000
72,1,0,0,30,0.0000,0.0000
73,1,0,0,30,0.0000,0.0000
74,0,0,0,30,0.0000,0.0000
