Step,AgentID,Decision,Explanation
1,-2844,selfish,"openai request failed: HTTP/1.1 429 Too Many Requests (status=429)"
1,-2858,selfish,"openai request failed: HTTP/1.1 429 Too Many Requests (status=429)"
1,-2872,selfish,"openai request failed: HTTP/1.1 429 Too Many Requests (status=429)"
10,-2844,selfish,"openai request failed: HTTP/1.1 429 Too Many Requests (status=429)"
10,-2872,selfish,"openai request failed: HTTP/1.1 429 Too Many Requests (status=429)"
10,-2886,selfish,"openai request failed: HTTP/1.1 429 Too Many Requests (status=429)"
20,-2858,selfish,"openai request failed: HTTP/1.1 429 Too Many Requests (status=429)"
20,-2886,selfish,"openai request failed: HTTP/1.1 429 Too Many Requests (status=429)"
20,-2900,selfish,"openai request failed: HTTP/1.1 429 Too Many Requests (status=429)"
30,-2858,selfish,"openai request failed: HTTP/1.1 429 Too Many Requests (status=429)"
30,-2914,selfish,"openai request failed: HTTP/1.1 429 Too Many Requests (status=429)"
30,-2928,selfish,"openai request failed: HTTP/1.1 429 Too Many Requests (status=429)"
40,-3264,selfish,"openai request failed: HTTP/1.1 429 Too Many Requests (status=429)"
40,-3376,selfish,"openai request failed: HTTP/1.1 429 Too Many Requests (status=429)"
40,-3628,selfish,"openai request failed: HTTP/1.1 429 Too Many Requests (status=429)"
50,-4090,selfish,"openai request failed: HTTP/1.1 429 Too Many Requests (status=429)"
1,-4644,selfish,"openai request failed: HTTP/1.1 429 Too Many Requests (status=429)"
1,-4658,selfish,"openai request failed: HTTP/1.1 429 Too Many Requests (status=429)"
1,-4672,selfish,"openai request failed: HTTP/1.1 429 Too Many Requests (status=429)"
10,-4644,selfish,"openai request failed: HTTP/1.1 429 Too Many Requests (status=429)"
10,-4658,selfish,"openai request failed: HTTP/1.1 429 Too Many Requests (status=429)"
10,-4672,selfish,"openai request failed: HTTP/1.1 429 Too Many Requests (status=429)"
20,-4658,selfish,"openai request failed: HTTP/1.1 429 Too Many Requests (status=429)"
20,-4686,selfish,"openai request failed: HTTP/1.1 429 Too Many Requests (status=429)"
20,-4700,selfish,"openai request failed: HTTP/1.1 429 Too Many Requests (status=429)"
30,-4658,selfish,"openai request failed: HTTP/1.1 429 Too Many Requests (status=429)"
30,-4742,selfish,"openai request failed: HTTP/1.1 429 Too Many Requests (status=429)"
30,-4770,selfish,"openai request failed: HTTP/1.1 429 Too Many Requests (status=429)"
40,-4742,selfish,"openai request failed: HTTP/1.1 429 Too Many Requests (status=429)"
40,-5358,selfish,"openai request failed: HTTP/1.1 429 Too Many Requests (status=429)"
40,-5610,selfish,"openai request failed: HTTP/1.1 429 Too Many Requests (status=429)"
1,-5910,selfish,"openai request failed: HTTP/1.1 429 Too Many Requests (status=429)"
1,-5924,selfish,"openai request failed: HTTP/1.1 429 Too Many Requests (status=429)"
1,-5938,selfish,"openai request failed: HTTP/1.1 429 Too Many Requests (status=429)"
10,-5910,selfish,"openai request failed: HTTP/1.1 429 Too Many Requests (status=429)"
10,-5924,selfish,"openai request failed: HTTP/1.1 429 Too Many Requests (status=429)"
10,-5938,selfish,"openai request failed: HTTP/1.1 429 Too Many Requests (status=429)"
20,-5910,selfish,"openai request failed: HTTP/1.1 429 Too Many Requests (status=429)"
20,-5938,selfish,"openai request failed: HTTP/1.1 429 Too Many Requests (status=429)"
20,-5952,selfish,"openai request failed: HTTP/1.1 429 Too Many Requests (status=429)"
30,-5910,selfish,"openai request failed: HTTP/1.1 429 Too Many Requests (status=429)"
30,-5966,selfish,"openai request failed: HTTP/1.1 429 Too Many Requests (status=429)"
30,-5994,selfish,"openai request failed: HTTP/1.1 429 Too Many Requests (status=429)"
40,-5994,selfish,"openai request failed: HTTP/1.1 429 Too Many Requests (status=429)"
40,-6036,selfish,"openai request failed: HTTP/1.1 429 Too Many Requests (status=429)"
40,-6148,selfish,"openai request failed: HTTP/1.1 429 Too Many Requests (status=429)"
50,-5994,selfish,"openai request failed: HTTP/1.1 429 Too Many Requests (status=429)"
50,-6176,selfish,"openai request failed: HTTP/1.1 429 Too Many Requests (status=429)"
50,-6834,selfish,"openai request failed: HTTP/1.1 429 Too Many Requests (status=429)"
60,-5994,selfish,"openai request failed: HTTP/1.1 429 Too Many Requests (status=429)"
60,-6176,selfish,"openai request failed: HTTP/1.1 429 Too Many Requests (status=429)"
