Strategy,Probabilistic
useLLMVolunteerDecision,False
volunteerCount,5
obstacleCount,80
agentCount,150
stepInterval,0.3
mapWidth,30
mapHeight,30
batchRunCount,30
kStatic,1
kDynamic,1
kAnticipation,1
movementTemperature,1
summaryMetric,90pct_evacuated
ninetyPercentFallbackSteps,150

BatchSize,Strategy,AvgSteps,StdSteps,MinSteps,MaxSteps,AvgTime,StdTime,MinTime,MaxTime,Reached90PctAllRuns,SuccessRuns90Pct,FailedRuns
30,Probabilistic,45.33,3.77,40,57,13.60,1.13,12.00,17.10,true,30,0
