Step,AgentsRemaining,ConflictCount,VolunteerActions,ObstaclesRemaining,AvgDFF,AvgAFF
1,90,9,0,40,0.1208,0.0000
2,90,7,0,40,0.0244,0.0000
3,90,9,0,40,0.0054,0.0000
4,90,8,0,40,0.0013,0.0000
5,90,9,0,40,0.0003,0.0000
6,88,6,0,40,0.0001,0.0000
7,87,10,0,40,0.0000,0.0000
8,85,8,0,40,0.0000,0.0000
9,83,8,0,40,0.0000,0.0000
10,81,12,0,40,0.0000,0.0000
11,79,8,0,40,0.0000,0.0000
12,77,6,0,40,0.0000,0.0000
13,72,9,0,40,0.0000,0.0000
14,67,6,0,40,0.0000,0.0000
15,65,5,0,40,0.0000,0.0000
16,61,2,0,40,0.0000,0.0000
17,58,7,0,40,0.0000,0.0000
18,57,8,0,40,0.0000,0.0000
19,54,8,0,40,0.0000,0.0000
20,51,6,0,40,0.0000,0.0000
21,48,5,0,40,0.0000,0.0000
22,44,4,0,40,0.0000,0.0000
23,40,4,0,40,0.0000,0.0000
24,38,7,0,40,0.0000,0.0000
25,37,2,0,40,0.0000,0.0000
26,34,3,0,40,0.0000,0.0000
27,32,2,0,40,0.0000,0.0000
28,30,2,0,40,0.0000,0.0000
29,26,3,0,40,0.0000,0.0000
30,26,2,0,40,0.0000,0.0000
31,23,3,0,40,0.0000,0.0000
32,20,1,0,40,0.0000,0.0000
33,18,1,0,40,0.0000,0.0000
34,13,1,0,40,0.0000,0.0000
35,12,1,0,40,0.0000,0.0000
36,11,0,0,40,0.0000,0.0000
37,8,0,0,40,0.0000,0.0000
38,7,0,0,40,0.0000,0.0000
39,6,0,0,40,0.0000,0.0000
40,5,0,0,40,0.0000,0.0000
41,4,0,0,40,0.0000,0.0000
42,3,0,0,40,0.0000,0.0000
43,3,0,0,40,0.0000,0.0000
44,3,0,0,40,0.0000,0.0000
45,3,0,0,40,0.0000,0.0000
46,1,0,0,40,0.0000,0.0000
47,1,0,0,40,0.0000,0.0000
48,1,0,0,40,0.0000,0.0000
49,1,0,0,40,0.0000,0.0000
50,1,0,0,40,0.0000,0.0000
51,1,0,0,40,0.0000,0.0000
52,1,0,0,40,0.0000,0.0000
53,0,0,0,40,0.0000,0.0000
