Step,AgentsRemaining,ConflictCount,VolunteerActions,ObstaclesRemaining,AvgDFF,AvgAFF
1,60,2,0,20,0.1250,0.0114
2,60,1,0,20,0.0269,0.0117
3,60,3,1,19,0.0062,0.0064
4,59,4,1,18,0.0014,0.0000
5,58,0,0,18,0.0003,0.0000
6,58,4,0,18,0.0001,0.0000
7,56,7,0,18,0.0000,0.0000
8,55,5,0,18,0.0000,0.0000
9,54,3,0,18,0.0000,0.0000
10,53,3,1,17,0.0000,0.0103
11,51,5,0,17,0.0000,0.0000
12,50,6,0,17,0.0000,0.0000
13,47,6,0,17,0.0000,0.0000
14,46,2,0,17,0.0000,0.0000
15,42,3,0,17,0.0000,0.0000
16,40,3,0,17,0.0000,0.0000
17,39,0,0,17,0.0000,0.0000
18,33,3,0,17,0.0000,0.0000
19,29,1,0,17,0.0000,0.0000
20,25,0,0,17,0.0000,0.0334
21,23,3,1,16,0.0000,0.0109
22,21,1,0,16,0.0000,0.0095
23,19,0,1,15,0.0000,0.0000
24,17,0,0,15,0.0000,0.0000
25,17,2,0,15,0.0000,0.0000
26,17,1,0,15,0.0000,0.0000
27,15,0,0,15,0.0000,0.0000
28,12,0,0,15,0.0000,0.0000
29,10,0,0,15,0.0000,0.0000
30,10,1,0,15,0.0000,0.0467
31,9,0,1,14,0.0000,0.0453
32,7,0,0,14,0.0000,0.0000
33,6,0,0,14,0.0000,0.0000
34,5,0,0,14,0.0000,0.0000
35,4,0,0,14,0.0000,0.0000
36,3,0,0,14,0.0000,0.0000
37,2,0,0,14,0.0000,0.0000
38,1,0,0,14,0.0000,0.0000
39,0,0,0,14,0.0000,0.0000
