Strategy,Probabilistic
useLLMVolunteerDecision,False
volunteerCount,5
obstacleCount,60
agentCount,120
stepInterval,0.3
mapWidth,30
mapHeight,30
batchRunCount,30
kStatic,1
kDynamic,1
kAnticipation,1
movementTemperature,1
summaryMetric,90pct_evacuated
ninetyPercentFallbackSteps,150

BatchSize,Strategy,AvgSteps,StdSteps,MinSteps,MaxSteps,AvgTime,StdTime,MinTime,MaxTime,Reached90PctAllRuns,SuccessRuns90Pct,FailedRuns
30,Probabilistic,40.40,3.76,34,49,12.12,1.13,10.20,14.70,true,30,0
