Strategy,Probabilistic
useLLMVolunteerDecision,True
volunteerCount,5
obstacleCount,60
agentCount,120
stepInterval,0.3
mapWidth,30
mapHeight,30
batchRunCount,30
kStatic,1
kDynamic,1
kAnticipation,1
movementTemperature,1
summaryMetric,90pct_evacuated
ninetyPercentFallbackSteps,150

BatchSize,Strategy,AvgSteps,StdSteps,MinSteps,MaxSteps,AvgTime,StdTime,MinTime,MaxTime,Reached90PctAllRuns,SuccessRuns90Pct,FailedRuns
30,Probabilistic,38.97,2.07,33,43,11.69,0.62,9.90,12.90,true,30,0
